Component ID,Asset ID,Flota,Location,Component Profile,Lubricant,Connection Code,Observation Type,Observation Date,Observation Code,Meter Reading,All Time Meter Reading,Component Age,Observation Interval,days,Observation Rating,Rule Based Rating,Lube Age,Live,Lube Drained,Added,Assigned Condition Rating,Condition Review Notes,Further Recommendations,Fault Effect,Reviewed,Reviewer,Action Summary,Boro (ppm),Calcio (ppm),Cinc (ppm),Fosforado (ppm),Magnesio (ppm),Molibdeno (ppm),SILICATOS (ppm),Agua (%),Dilución por combustible (%),Hollín JOAP (Abs/cm),Nitración JOAP (Abs/cm),Oxidación JOAP (Abs/cm),Silicio (ppm),Sodio (ppm),Sulfatación JOAP (Abs/cm),Viscosidad @ 100°C (cSt),ISO 4406:1999 > 04µ,ISO 4406:1999 > 06µ,ISO 4406:1999 > 14µ,Aluminio (ppm),Bario (ppm),Cadmio (ppm),Cobre (ppm),Cromo (ppm),Estaño (ppm),Hierro (ppm),Niquel (ppm),Partículas Ferrosas (ppm),Plomo (ppm),Color del Refrigerante,Glycerin (%),Nitrito (ppm),PUNTO DE EBULLICION (°C),Sólidos Totales Disueltos (ppm),Turbidez (NTU),pH,Titanio (ppm),Vanadio (ppm)
Component_ID_42,Asset_ID_30,Flota_2,Location_1,Component_Profile_1,Lubricant_1,Connection_Code_46,Fluid Analysis,2025-01-19,Observation_Code_3218,6380.79,6380.79,6380.79,525.4,32.0,Normal,Warning,,6380.79,No,0,Normal,"Todos los predictores en rango normal, seguir monitoreando de cerca.",,No Fault Identified,2025-01-27 19:01:10,Reviewer_8,,93.32,1809.0,,,389.87,73.48,,0.0,0.0,9.0,7.0,18.0,5.5,5.09,21.0,15.253,,,,1.07,,,0.15,0.11,0.0,5.64,,0.0,0.09,,,,,,,,,
Component_ID_52,Asset_ID_40,Flota_3,Location_1,Component_Profile_4,Lubricant_1,Connection_Code_60,Fluid Analysis,2025-01-18,Observation_Code_3871,38045.48,77730.11,1522.6,67.6,4.0,Normal,Normal,,1522.6,No,0,Normal,SEGUIR OPERANDO ,,No Fault Identified,2025-01-23 14:15:47,Reviewer_1,,96.83,1733.0,,,360.39,66.86,,0.0,0.0,6.0,4.0,14.0,3.07,2.68,19.0,14.565,,,,0.8,,,0.31,0.06,,2.63,,,0.0,,,,,,,,,
Component_ID_29,Asset_ID_17,Flota_2,Location_1,Component_Profile_1,Lubricant_1,Connection_Code_33,Fluid Analysis,2025-01-18,Observation_Code_2266,66418.22,69665.49,6314.29,294.3,32.0,Normal,Warning,,6314.29,No,0,Normal,"Todos los predictores en rango noremal, seguir monitoreando de cerca.",,No Fault Identified,2025-01-22 12:56:58,Reviewer_8,,99.16,1704.0,,,357.22,62.49,,0.0,0.0,4.0,4.0,14.0,6.24,2.73,19.0,15.5,,,,0.52,,,0.12,0.01,0.66,2.23,,5.0,0.12,,,,,,,,,
Component_ID_40,Asset_ID_28,Flota_2,Location_1,Component_Profile_1,Lubricant_1,Connection_Code_44,Fluid Analysis,2025-01-18,Observation_Code_3180,64595.75,64595.75,64595.75,202.1,14.0,Normal,Normal,,64595.75,No,0,Normal,"Todos los predictores en rango noremal, seguir monitoreando de cerca.",,No Fault Identified,2025-01-22 12:56:58,Reviewer_8,,87.36,1780.0,,,349.44,62.54,,0.0,0.0,6.0,5.0,15.0,3.1,2.49,19.0,15.195,,,,0.88,,,0.16,0.05,0.37,2.38,,0.0,0.27,,,,,,,,,
Component_ID_46,Asset_ID_34,Flota_2,Location_1,Component_Profile_1,Lubricant_1,Connection_Code_51,Fluid Analysis,2025-01-18,Observation_Code_3271,1569.4,1807.4,1569.4,268.7,14.0,Normal,Normal,,1569.4,No,0,Normal,"Todos los predictores permanecen dentro de los límites aceptables, continúe monitoreando de cerca.  ",,No Fault Identified,2025-01-20 20:25:09,Reviewer_10,,85.37,1845.0,,,373.24,68.68,,0.0,0.0,6.0,5.0,16.0,2.44,2.88,20.0,15.062,,,,0.74,,,0.17,0.04,1.21,2.76,,2.0,0.0,,,,,,,,,
Component_ID_8,Asset_ID_4,Flota_1,Location_1,Component_Profile_2,Lubricant_1,Connection_Code_7,Fluid Analysis,2025-01-17,Observation_Code_745,63003.9,70740.89,16655.27,84.2,68.0,Normal,Normal,,16655.27,No,0,Normal,"Todos los predictores permanecen dentro de los límites aceptables, continúe monitoreando de cerca.  ",,No Fault Identified,2025-01-19 20:25:03,Reviewer_10,,79.32,1582.0,1200.0,1004.0,291.98,52.31,,0.0,0.0,5.0,4.0,15.0,3.43,2.29,20.0,14.795,,,,0.5,,,0.09,0.05,0.66,1.74,,,0.0,,,,,,,,,
Component_ID_7,Asset_ID_4,Flota_1,Location_1,Component_Profile_2,Lubricant_1,Connection_Code_8,Fluid Analysis,2025-01-17,Observation_Code_869,63003.9,63339.8,21050.66,84.2,68.0,Normal,Normal,,21050.66,No,0,Normal,"Todos los predictores permanecen dentro de los límites aceptables, continúe monitoreando de cerca.  ",,No Fault Identified,2025-01-19 20:25:03,Reviewer_10,,75.57,1546.0,1198.0,960.84,277.6,50.82,,0.0,0.0,4.0,4.0,15.0,2.62,2.02,20.0,14.516,,,,0.42,,,0.26,0.01,0.4,1.52,,,0.0,,,,,,,,,
Component_ID_55,Asset_ID_43,Flota_3,Location_1,Component_Profile_4,Lubricant_1,Connection_Code_64,Fluid Analysis,2025-01-17,Observation_Code_4213,26512.85,26512.85,26512.85,190.9,10.0,Normal,Warning,,26512.85,No,0,Normal,SEGUIR OPERANDO ,SEGUIR OPERANDO ,No Fault Identified,2025-01-22 15:39:24,Reviewer_1,,71.22,1618.0,,,340.68,54.86,,0.0,0.0,5.0,5.0,15.0,2.33,2.34,20.0,15.252,,,,0.63,,,0.04,0.44,,3.61,,,0.22,,,,,,,,,
Component_ID_43,Asset_ID_31,Flota_2,Location_1,Component_Profile_1,Lubricant_1,Connection_Code_47,Fluid Analysis,2025-01-16,Observation_Code_3237,4990.75,23178.55,23178.55,2270.05,1.0,Normal,Normal,,23178.55,No,0,Normal,"Todos los predictores permanecen dentro de los límites aceptables, continúe monitoreando de cerca.  ",,No Fault Identified,2025-01-17 20:25:20,Reviewer_10,,97.36,1675.0,,,370.3,75.31,,0.0,0.0,8.0,6.0,16.0,3.08,3.09,20.0,14.872,,,,0.82,,,0.25,0.08,0.0,3.1,,0.0,0.0,,,,,,,,,
Component_ID_57,Asset_ID_45,Flota_3,Location_1,Component_Profile_4,Lubricant_1,Connection_Code_66,Fluid Analysis,2025-01-16,Observation_Code_4297,10387.28,13955.78,10387.28,176.5,10.0,Normal,Warning,,10387.28,No,0,Normal,SEGUIR OPERANDO ,SEGUIR OPERANDO ,No Fault Identified,2025-01-22 15:39:24,Reviewer_1,,121.33,1563.0,,,362.75,72.66,,0.0,0.0,4.0,4.0,14.0,5.16,3.36,19.0,15.502,,,,1.2,,,0.09,0.63,,4.95,,,0.0,,,,,,,,,
Component_ID_17,Asset_ID_9,Flota_1,Location_1,Component_Profile_2,Lubricant_1,Connection_Code_22,Fluid Analysis,2025-01-16,Observation_Code_1726,8450.37,9801.97,8450.37,130.6,8.0,Normal,Warning,,8450.37,No,0,Unrated,,,Dust Entry,,,,91.74,1656.0,1535.0,1369.0,359.03,70.37,,0.0,0.0,11.0,6.0,16.0,8.29,4.26,20.0,14.332,,,,2.8,,,0.65,0.14,0.0,14.17,,,0.41,,,,,,,,,
Component_ID_18,Asset_ID_9,Flota_1,Location_1,Component_Profile_2,Lubricant_1,Connection_Code_21,Fluid Analysis,2025-01-16,Observation_Code_1692,8450.37,9801.97,8450.37,130.6,8.0,Normal,Warning,,8450.37,No,0,Normal,SEGUIR OPERANDO ,SEGUIR OPERANDO ,No Fault Identified,2025-01-21 10:56:15,Reviewer_1,,89.34,1633.0,1533.0,1403.0,364.15,70.02,,0.0,0.0,13.0,5.0,15.0,4.38,4.17,20.0,14.662,,,,1.33,,,0.33,0.18,0.0,9.76,,,0.25,,,,,,,,,
Component_ID_26,Asset_ID_14,Flota_2,Location_1,Component_Profile_1,Lubricant_1,Connection_Code_30,Fluid Analysis,2025-01-15,Observation_Code_1956,86199.34,86880.04,26240.71,141.2,7.0,Normal,Warning,,26240.71,No,0,Warning,"Los predictores de silicio, aluminio y hierro se dispararon en advertencia.    Asistente, abre una OT tipo TR con P0 e incluyela en el actual evento con las siguientes recomendaciones:    1.	Aplicar test de hermeticidad al Motor recomendado por cummins  2.	Cambiar aceite y filtros   3.	Corte filtro y verifica presencia de material particulado.  4.          Cambiar filtros de admision de ser necesario.",,Dust Entry,2025-01-23 19:20:48,Reviewer_8,Action: Hitachi EX3600 - Cummins QSK60 Entrada polvo (Priority: 0 - Acción requerida Inmediatamente )  Status: Recommended      ,101.32,1681.0,,,340.35,67.09,,0.0,0.0,7.0,5.0,15.0,11.12,4.15,20.0,14.865,,,,2.99,,,0.23,1.92,0.0,8.5,,4.0,0.0,,,,,,,,,
Component_ID_33,Asset_ID_21,Flota_2,Location_1,Component_Profile_1,Lubricant_1,Connection_Code_37,Fluid Analysis,2025-01-15,Observation_Code_2681,26509.07,26570.17,10673.75,161.3,9.0,Normal,Warning,,10673.75,No,0,Normal,Tomar contramuestra para corroborar tendencia,,No Fault Identified,2025-01-23 19:22:20,Reviewer_8,,88.35,1691.0,,,354.18,67.19,,0.0,0.0,12.0,6.0,15.0,4.01,3.24,20.0,14.967,,,,0.99,,,0.2,0.16,0.0,3.35,,2.0,0.0,,,,,,,,,
Component_ID_43,Asset_ID_31,Flota_2,Location_1,Component_Profile_1,Lubricant_1,Connection_Code_49,Fluid Analysis,2025-01-15,Observation_Code_3255,2720.7,20908.5,20908.5,0.0,6.0,Normal,Normal,,20908.5,No,0,Normal,"Todos los predictores permanecen dentro de los límites aceptables, continúe monitoreando de cerca.  ",,No Fault Identified,2025-01-17 20:25:18,Reviewer_10,,100.47,1687.0,,,358.1,73.15,,0.0,0.0,7.0,5.0,15.0,2.86,3.16,20.0,14.564,,,,0.88,,,0.26,0.08,0.0,2.39,,0.0,0.0,,,,,,,,,
Component_ID_37,Asset_ID_25,Flota_2,Location_1,Component_Profile_1,Lubricant_1,Connection_Code_41,Fluid Analysis,2025-01-15,Observation_Code_3049,18836.09,19070.52,19070.52,240.9,16.0,Normal,Normal,,19070.52,No,0,Normal,"Todos los predictores permanecen dentro de los límites aceptables, continúe monitoreando de cerca.  ",,No Fault Identified,2025-01-17 20:25:18,Reviewer_10,,109.23,1691.0,,,340.89,69.76,,0.0,0.0,6.0,5.0,15.0,4.59,3.26,19.0,14.981,,,,0.83,,,0.16,0.15,0.0,1.91,,0.0,0.0,,,,,,,,,
Component_ID_38,Asset_ID_26,Flota_2,Location_1,Component_Profile_1,Lubricant_1,Connection_Code_42,Fluid Analysis,2025-01-15,Observation_Code_3117,18984.74,19037.14,6420.39,165.7,9.0,Normal,Normal,,6420.39,No,0,Normal,"Todos los predictores permanecen dentro de los límites aceptables, continúe monitoreando de cerca.  ",,No Fault Identified,2025-01-17 20:25:18,Reviewer_10,,94.98,1679.0,,,352.88,69.87,,0.0,0.09,6.0,6.0,16.0,3.66,3.3,20.0,14.759,,,,1.02,,,0.21,0.13,0.0,2.65,,0.0,0.0,,,,,,,,,
Component_ID_39,Asset_ID_27,Flota_2,Location_1,Component_Profile_1,Lubricant_1,Connection_Code_43,Fluid Analysis,2025-01-15,Observation_Code_3149,9576.18,12057.28,599.4,167.1,9.0,Normal,Normal,,599.4,No,0,Normal,"Todos los predictores en rango normal, seguir monitoreando de cerca.",,No Fault Identified,2025-01-21 17:13:29,Reviewer_8,,119.05,1654.0,,,346.58,73.35,,0.0,0.0,3.0,4.0,14.0,4.08,3.55,19.0,15.013,,,,0.96,,,0.18,0.09,0.0,1.82,,0.0,0.0,,,,,,,,,
Component_ID_15,Asset_ID_8,Flota_1,Location_1,Component_Profile_2,Lubricant_1,Connection_Code_18,Fluid Analysis,2025-01-15,Observation_Code_1644,9024.82,10859.62,9024.82,163.5,10.0,Normal,Warning,,9024.82,No,0,Normal,SEGUIR OPERANDO ,SEGUIR OPERANDO ,No Fault Identified,2025-01-21 10:56:15,Reviewer_1,,87.59,1697.0,1584.0,1448.0,390.69,69.7,,0.0,0.0,11.0,6.0,16.0,3.67,4.51,20.0,14.423,,,,0.99,,,0.16,0.19,0.0,5.2,,,0.0,,,,,,,,,
Component_ID_16,Asset_ID_8,Flota_1,Location_1,Component_Profile_2,Lubricant_1,Connection_Code_17,Fluid Analysis,2025-01-15,Observation_Code_1610,9024.82,10859.62,994.2,163.5,10.0,Normal,Warning,,994.2,No,0,Normal,SEGUIR OPERANDO ,SEGUIR OPERANDO ,No Fault Identified,2025-01-21 10:56:15,Reviewer_1,,85.5,1764.0,1680.0,1402.0,378.95,68.61,,0.0,0.0,11.0,6.0,16.0,3.74,4.86,20.0,14.339,,,,1.02,,,0.76,0.24,0.0,10.24,,,0.38,,,,,,,,,
Component_ID_45,Asset_ID_33,Flota_2,Location_1,Component_Profile_1,Lubricant_1,Connection_Code_50,Fluid Analysis,2025-01-15,Observation_Code_3264,2279.4,2279.4,2279.4,258.6,16.0,Normal,Warning,,2279.4,No,0,Normal,"Todos los predictores en rango normal, seguir monitoreando de cerca.",,No Fault Identified,2025-01-21 17:13:29,Reviewer_8,,81.42,1534.0,,,320.79,65.14,,0.0,0.0,8.0,5.0,16.0,2.53,3.11,21.0,14.086,,,,0.97,,,0.52,0.07,0.0,2.73,,0.0,0.0,,,,,,,,,
Component_ID_23,Asset_ID_12,Flota_1,Location_1,Component_Profile_2,Lubricant_1,Connection_Code_28,Fluid Analysis,2025-01-15,Observation_Code_1762,1109.2,1109.2,1109.2,220.1,12.0,Normal,Warning,,1109.2,No,0,Unrated,,,No Fault Identified,,,,71.77,1553.0,1483.0,1283.0,347.27,63.44,,0.0,0.0,12.0,6.0,16.0,5.14,3.71,21.0,13.925,,,,1.4,,,0.86,0.3,0.0,13.68,,,0.0,,,,,,,,,
Component_ID_24,Asset_ID_12,Flota_1,Location_1,Component_Profile_2,Lubricant_1,Connection_Code_27,Fluid Analysis,2025-01-15,Observation_Code_1755,1109.2,1109.2,1109.2,220.1,12.0,Normal,Normal,,1109.2,No,0,Normal,"Todos los predictores permanecen dentro de los límites aceptables, continúe monitoreando de cerca.  ",,No Fault Identified,2025-01-17 20:25:18,Reviewer_10,,69.5,1548.0,1507.0,1234.0,331.66,64.4,,0.0,0.0,12.0,6.0,16.0,3.82,3.87,21.0,13.877,,,,1.16,,,0.83,0.24,0.0,10.73,,,0.79,,,,,,,,,
